trial,stimulus,rating,participant
47,11,2,2a
48,12,1,2a
49,4,1,2a
50,24,3,2a
51,30,6,2a
52,16,0,2a
53,2,0,2a
54,14,5,2a
55,20,6,2a
56,19,6,2a
57,27,3,2a
58,1,2,2a
59,5,2,2a
60,21,1,2a
61,15,5,2a
62,3,0,2a
63,9,6,2a
64,14,2,2a
65,16,0,2a
66,4,1,2a
67,17,5,2a
68,21,0,2a
69,25,0,2a
70,1,2,2a
71,11,1,2a
72,18,6,2a
73,28,5,2a
74,10,6,2a
75,2,1,2a
76,20,6,2a
77,23,0,2a
78,6,4,2a
79,24,5,2a
80,12,2,2a
81,26,6,2a
82,27,2,2a
83,19,6,2a
84,8,5,2a
85,30,6,2a
86,29,6,2a
87,7,2,2a
88,5,3,2a
89,22,1,2a
90,13,0,2a
<end data>,,,
<start header>,,,
Fri Aug 28 14:57:03 1998,,,
RT identification,,,
shkas.ssf,,,
1 30,,,
1 1,,,
90,,,
none,,,
2,,,
button,,,
1 2 3 4 5 6,,,
test,,,
<end header>,,,
<start data>,,,
1,14,5,2a
2,8,5,2a
3,20,6,2a
4,15,2,2a
5,21,1,2a
6,2,4,2a
7,26,5,2a
8,7,5,2a
9,5,4,2a
10,30,6,2a
11,12,1,2a
12,22,1,2a
13,19,6,2a
14,23,1,2a
15,28,5,2a
16,11,2,2a
17,24,4,2a
18,27,5,2a
19,10,6,2a
20,6,5,2a
21,13,2,2a
22,18,6,2a
23,29,6,2a
24,3,1,2a
25,4,1,2a
26,16,5,2a
27,9,6,2a
28,1,2,2a
29,25,5,2a
30,17,6,2a
31,18,6,2a
32,3,1,2a
33,7,5,2a
34,4,2,2a
35,23,4,2a
36,20,6,2a
37,19,6,2a
38,28,6,2a
39,24,2,2a
40,14,2,2a
41,21,1,2a
42,5,5,2a
43,30,6,2a
44,6,2,2a
45,17,5,2a
46,13,2,2a
47,16,5,2a
48,29,6,2a
49,11,3,2a
50,27,6,2a
51,26,5,2a
52,12,2,2a
53,15,5,2a
54,25,4,2a
55,8,5,2a
56,10,6,2a
57,22,5,2a
58,9,6,2a
59,2,1,2a
60,1,5,2a
61,14,2,2a
62,1,2,2a
63,18,6,2a
64,16,5,2a
65,21,2,2a
66,12,2,2a
67,24,2,2a
68,3,4,2a
69,26,4,2a
70,11,3,2a
71,15,2,2a
72,7,6,2a
73,30,6,2a
74,28,6,2a
75,23,2,2a
76,17,6,2a
77,20,6,2a
78,19,6,2a
79,6,5,2a
80,9,5,2a
81,2,2,2a
82,10,6,2a
83,27,5,2a
84,4,2,2a
85,22,1,2a
86,8,5,2a
87,5,2,2a
88,13,6,2a
89,25,4,2a
90,29,5,2a
<end data>,,,
<start header>,,,
Fri Aug 28 15:01:32 1998,,,
RT identification,,,
shkas.ssf,,,
1 30,,,
1 1,,,
90,,,
none,,,
2,,,
button,,,
1 2 3 4 5 6,,,
test,,,
<end header>,,,
<start data>,,,
1,6,5,2a
2,29,4,2a
3,25,3,2a
4,13,5,2a
5,20,6,2a
6,27,5,2a
7,30,6,2a
8,17,4,2a
9,14,2,2a
10,9,6,2a
11,1,2,2a
12,4,1,2a
13,10,6,2a
14,24,2,2a
15,18,6,2a
16,16,5,2a
17,2,2,2a
18,23,5,2a
19,3,2,2a
20,21,0,2a
21,19,6,2a
22,5,3,2a
23,22,1,2a
24,7,4,2a
25,26,5,2a
26,8,6,2a
27,28,5,2a
28,12,2,2a
29,11,2,2a
30,15,5,2a
31,20,5,2a
32,10,6,2a
33,5,2,2a
34,15,5,2a
35,3,4,2a
36,28,6,2a
37,23,2,2a
38,17,2,2a
39,12,5,2a
40,13,2,2a
41,21,5,2a
42,30,6,2a
43,22,2,2a
44,7,5,2a
45,25,5,2a
46,18,6,2a
47,8,5,2a
48,2,2,2a
49,11,2,2a
50,19,5,2a
51,27,4,2a
52,14,2,2a
53,24,5,2a
54,4,3,2a
55,29,5,2a
56,16,5,2a
57,9,6,2a
58,6,0,2a
59,26,5,2a
60,1,2,2a
61,29,6,2a
62,1,2,2a
63,13,1,2a
64,16,5,2a
65,18,5,2a
66,25,2,2a
67,6,1,2a
68,19,5,2a
69,14,2,2a
70,3,3,2a
71,10,6,2a
72,17,5,2a
73,7,5,2a
74,23,4,2a
75,5,3,2a
76,26,0,2a
77,30,6,2a
78,15,4,2a
79,24,3,2a
80,9,5,2a
81,11,2,2a
82,22,2,2a
83,4,1,2a
84,2,1,2a
85,27,5,2a
86,21,5,2a
87,20,6,2a
88,8,5,2a
89,12,2,2a
90,28,5,2a
<end data>,,,
<start header>,,,
Fri Aug 28 15:06:04 1998,,,
RT identification,,,
shkas.ssf,,,
1 30,,,
1 1,,,
90,,,
none,,,
2,,,
button,,,
1 2 3 4 5 6,,,
test,,,
<end header>,,,
<start data>,,,
1,11,0,2a
2,13,2,2a
3,7,5,2a
4,3,2,2a
5,24,0,2a
6,16,5,2a
7,2,2,2a
8,15,2,2a
9,9,5,2a
10,28,5,2a
11,17,2,2a
12,14,1,2a
13,18,6,2a
14,8,6,2a
15,26,5,2a
16,27,6,2a
17,6,0,2a
18,10,6,2a
19,25,0,2a
20,4,1,2a
21,23,1,2a
22,12,1,2a
23,22,2,2a
24,5,2,2a
25,19,5,2a
26,29,6,2a
27,20,6,2a
28,30,6,2a
29,1,0,2a
30,21,2,2a
31,14,1,2a
32,24,1,2a
33,20,5,2a
34,27,0,2a
35,5,2,2a
36,13,2,2a
37,8,4,2a
38,23,3,2a
39,18,5,2a
40,19,5,2a
41,7,3,2a
42,15,2,2a
43,17,5,2a
44,28,5,2a
45,3,2,2a
46,1,0,2a
47,21,1,2a
48,30,6,2a
49,4,1,2a
50,12,2,2a
51,26,5,2a
52,29,6,2a
53,16,0,2a
54,6,2,2a
55,10,6,2a
56,9,6,2a
57,2,0,2a
58,25,0,2a
59,11,0,2a
60,22,0,2a
61,12,2,2a
62,20,5,2a
63,30,6,2a
64,29,6,2a
65,15,2,2a
66,13,0,2a
67,8,6,2a
68,25,0,2a
69,1,2,2a
70,7,4,2a
71,9,6,2a
72,6,2,2a
73,10,6,2a
74,11,2,2a
75,24,0,2a
76,22,0,2a
77,14,2,2a
78,4,3,2a
79,27,6,2a
80,18,6,2a
81,21,1,2a
82,26,5,2a
83,28,5,2a
84,16,5,2a
85,17,5,2a
86,2,2,2a
87,3,2,2a
88,5,4,2a
89,19,6,2a
90,23,2,2a
<end data>,,,
<start header>,,,
Fri Aug 28 15:10:40 1998,,,
RT identification,,,
shkas.ssf,,,
1 30,,,
1 1,,,
90,,,
none,,,
2,,,
button,,,
1 2 3 4 5 6,,,
test,,,
<end header>,,,
<start data>,,,
1,21,2,2a
2,19,6,2a
3,26,6,2a
4,22,2,2a
5,24,4,2a
6,16,2,2a
7,13,1,2a
8,8,6,2a
9,5,6,2a
10,23,2,2a
11,17,5,2a
12,29,6,2a
13,27,6,2a
14,25,6,2a
15,1,5,2a
16,7,5,2a
17,12,2,2a
18,30,6,2a
19,28,6,2a
20,2,1,2a
21,10,6,2a
22,11,2,2a
23,15,2,2a
24,4,0,2a
25,14,3,2a
26,6,2,2a
27,9,5,2a
28,20,6,2a
29,3,1,2a
30,18,6,2a
31,25,5,2a
32,17,5,2a
33,12,2,2a
34,27,2,2a
35,24,3,2a
36,4,2,2a
37,6,2,2a
38,1,0,2a
39,5,1,2a
40,19,6,2a
41,28,5,2a
42,8,4,2a
43,16,2,2a
44,9,0,2a
45,18,5,2a
46,7,0,2a
47,29,5,2a
48,20,6,2a
49,15,2,2a
50,22,1,2a
51,3,0,2a
52,10,6,2a
53,2,2,2a
54,26,5,2a
55,11,2,2a
56,13,1,2a
57,14,1,2a
58,23,1,2a
59,30,6,2a
60,21,2,2a
61,29,5,2a
62,24,3,2a
63,7,4,2a
64,6,0,2a
65,11,2,2a
66,10,0,2a
67,17,5,2a
68,16,4,2a
69,14,3,2a
70,13,2,2a
71,15,2,2a
72,4,0,2a
73,27,5,2a
74,26,6,2a
75,25,0,2a
76,8,5,2a
77,22,2,2a
78,12,2,2a
79,1,1,2a
80,28,5,2a
81,9,5,2a
82,19,6,2a
83,21,0,2a
84,23,3,2a
85,2,0,2a
86,20,5,2a
87,18,5,2a
88,30,0,2a
89,5,2,2a
90,3,1,2a
<end data>,,,
<start header>,,,
Fri Aug 28 15:15:18 1998,,,
RT identification,,,
shkas.ssf,,,
1 30,,,
1 1,,,
90,,,
none,,,
2,,,
button,,,
1 2 3 4 5 6,,,
test,,,
<end header>,,,
<start data>,,,
1,19,6,2a
2,6,0,2a
3,30,6,2a
4,22,2,2a
5,25,0,2a
6,14,4,2a
7,27,4,2a
8,9,5,2a
9,10,6,2a
10,11,6,2a
11,29,6,2a
12,17,6,2a
13,16,5,2a
14,2,2,2a
15,12,2,2a
16,15,5,2a
17,1,0,2a
18,18,5,2a
19,26,5,2a
20,5,0,2a
21,13,2,2a
22,20,0,2a
23,23,5,2a
24,4,2,2a
25,21,0,2a
26,28,6,2a
27,7,0,2a
28,3,0,2a
29,24,2,2a
30,8,5,2a
31,9,6,2a
32,1,2,2a
33,21,4,2a
34,17,6,2a
35,26,6,2a
36,13,2,2a
37,15,5,2a
38,24,2,2a
39,7,0,2a
40,12,0,2a
41,3,1,2a
42,25,2,2a
43,23,2,2a
44,22,0,2a
45,2,2,2a
46,18,6,2a
47,14,0,2a
48,16,6,2a
49,28,5,2a
50,11,5,2a
51,10,6,2a
52,4,0,2a
53,8,4,2a
54,27,5,2a
55,30,6,2a
56,29,6,2a
57,20,6,2a
58,6,0,2a
59,5,0,2a
60,19,6,2a
61,26,5,2a
62,22,2,2a
63,9,6,2a
64,25,5,2a
65,30,6,2a
66,8,0,2a
67,15,3,2a
68,19,4,2a
69,13,2,2a
70,1,1,2a
71,11,2,2a
72,2,2,2a
73,14,1,2a
74,6,1,2a
75,20,6,2a
76,4,2,2a
77,18,5,2a
78,3,0,2a
79,29,4,2a
80,21,0,2a
81,24,2,2a
82,28,5,2a
83,27,6,2a
84,7,4,2a
85,12,0,2a
86,16,2,2a
87,23,2,2a
88,5,0,2a
89,10,6,2a
90,17,6,2a
<end data>,,,
<start header>,,,
Fri Aug 28 15:19:51 1998,,,
RT identification,,,
shkas.ssf,,,
1 30,,,
1 1,,,
90,,,
none,,,
2,,,
button,,,
1 2 3 4 5 6,,,
test,,,
<end header>,,,
<start data>,,,
1,24,5,2a
2,3,0,2a
3,23,2,2a
4,15,4,2a
5,17,5,2a
6,19,6,2a
7,29,6,2a
8,10,6,2a
9,26,5,2a
10,28,6,2a
11,21,2,2a
12,1,4,2a
13,9,6,2a
14,13,0,2a
15,2,2,2a
16,8,5,2a
17,6,6,2a
18,11,2,2a
19,22,0,2a
20,27,4,2a
21,20,5,2a
22,16,0,2a
23,25,3,2a
24,30,6,2a
25,14,2,2a
26,4,1,2a
27,5,1,2a
28,7,2,2a
29,12,2,2a
30,18,5,2a
31,5,4,2a
32,1,3,2a
33,13,4,2a
34,19,6,2a
35,2,1,2a
36,10,5,2a
37,7,6,2a
38,20,6,2a
39,3,2,2a
40,12,0,2a
41,18,5,2a
42,9,6,2a
43,29,6,2a
44,4,2,2a
45,22,0,2a
46,30,5,2a
47,26,0,2a
48,27,6,2a
49,17,6,2a
50,23,2,2a
51,24,4,2a
52,16,0,2a
53,15,4,2a
54,6,0,2a
55,8,5,2a
56,28,6,2a
57,25,6,2a
58,11,0,2a
59,21,2,2a
60,14,5,2a
61,10,6,2a
62,30,6,2a
63,15,2,2a
64,14,1,2a
65,22,1,2a
66,27,4,2a
67,6,3,2a
68,16,0,2a
69,8,5,2a
70,7,6,2a
71,24,0,2a
72,12,2,2a
73,25,0,2a
74,2,2,2a
75,18,5,2a
76,21,2,2a
77,4,0,2a
78,1,2,2a
79,13,1,2a
80,5,0,2a
81,17,5,2a
82,11,0,2a
83,28,6,2a
84,29,6,2a
85,20,6,2a
86,26,0,2a
87,3,2,2a
88,9,5,2a
89,23,0,2a
90,19,0,2a
<end data>,,,
<start header>,,,
Wed Sep  2 13:11:28 1998,,,
RT identification,,,
shkas.ssf,,,
1 30,,,
1 1,,,
60,,,
none,,,
1,,,
button,,,
1 2 3 4 5 6,,,
1,,,
<end header>,,,
<start data>,,,
1,10,4,practice
2,15,0,practice
3,28,2,practice
4,6,1,practice
5,9,1,practice
6,25,1,practice
7,2,1,practice
8,5,1,practice
9,4,1,practice
10,24,1,practice
11,1,2,practice
12,23,0,practice
13,12,2,practice
14,27,4,practice
15,22,3,practice
16,20,5,practice
17,14,1,practice
18,7,3,practice
19,18,2,practice
20,21,2,practice
21,17,2,practice
22,30,6,practice
23,13,3,practice
24,29,1,practice
25,19,2,practice
26,11,1,practice
27,26,2,practice
28,3,1,practice
29,16,3,practice
30,8,2,practice
31,4,1,practice
32,20,5,practice
33,8,3,practice
34,25,3,practice
35,10,5,practice
36,13,2,practice
37,5,5,practice
38,6,1,practice
39,18,2,practice
40,19,5,practice
41,30,6,practice
42,16,4,practice
43,11,2,practice
44,2,1,practice
45,12,1,practice
46,7,2,practice
47,27,1,practice
48,28,3,practice
49,1,2,practice
50,9,5,practice
51,14,1,practice
52,22,1,practice
53,21,2,practice
54,15,2,practice
55,24,3,practice
56,17,2,practice
57,29,5,practice
58,23,3,practice
59,26,2,practice
60,3,1,practice
<end data>,,,
<start header>,,,
Wed Sep  2 13:15:20 1998,,,
RT identification,,,
shkas.ssf,,,
1 30,,,
1 1,,,
90,,,
none,,,
2,,,
button,,,
1 2 3 4 5 6,,,
1,,,
<end header>,,,
<start data>,,,
1,8,4,1
2,5,2,1
3,19,5,1
4,21,1,1
5,14,1,1
6,28,6,1
7,18,4,1
8,29,5,1
9,2,2,1
10,7,1,1
11,26,2,1
12,23,2,1
13,6,1,1
14,16,3,1
15,30,5,1
16,20,6,1
17,13,3,1
18,24,2,1
19,9,6,1
20,15,2,1
21,22,1,1
22,3,1,1
23,1,1,1
24,17,2,1
25,4,2,1
26,10,5,1
27,27,5,1
28,11,2,1
29,12,2,1
30,25,3,1
31,11,1,1
32,1,1,1
33,13,2,1
34,16,2,1
35,27,4,1
36,19,5,1
37,30,5,1
38,4,3,1
39,3,2,1
40,6,2,1
41,23,3,1
42,2,2,1
43,15,2,1
44,14,1,1
45,21,4,1
46,10,5,1
47,20,6,1
48,29,6,1
49,5,2,1
50,7,3,1
51,22,2,1
52,28,4,1
53,8,4,1
54,9,5,1
55,24,2,1
56,18,6,1
57,12,2,1
58,26,2,1
59,25,1,1
60,17,1,1
61,30,5,1
62,6,2,1
63,11,1,1
64,8,1,1
65,5,1,1
66,25,2,1
67,16,2,1
68,7,1,1
69,21,2,1
70,2,1,1
71,27,5,1
72,23,6,1
73,20,6,1
74,29,6,1
75,12,2,1
76,18,5,1
77,14,2,1
78,26,1,1
79,9,1,1
80,1,0,1
81,24,2,1
82,17,1,1
83,15,2,1
84,28,5,1
85,3,2,1
86,4,2,1
87,10,6,1
88,13,2,1
89,22,2,1
90,19,5,1
<end data>,,,
<start header>,,,
Wed Sep  2 13:19:50 1998,,,
RT identification,,,
shkas.ssf,,,
1 30,,,
1 1,,,
90,,,
none,,,
2,,,
button,,,
1 2 3 4 5 6,,,
1,,,
<end header>,,,
<start data>,,,
1,28,4,1
2,27,3,1
3,9,5,1
4,11,2,1
5,29,5,1
6,12,2,1
7,4,1,1
8,15,1,1
9,19,6,1
10,21,2,1
11,8,1,1
12,18,2,1
13,26,2,1
14,3,1,1
15,10,5,1
16,6,2,1
17,20,5,1
18,23,2,1
19,5,0,1
20,7,3,1
21,30,4,1
22,17,2,1
23,1,1,1
24,16,4,1
25,24,2,1
26,2,2,1
27,25,3,1
28,22,2,1
29,13,2,1
30,14,1,1
31,29,5,1
32,30,5,1
33,23,2,1
34,21,1,1
35,15,2,1
36,19,5,1
37,9,6,1
38,3,3,1
39,14,2,1
40,2,2,1
41,7,3,1
42,1,2,1
43,16,2,1
44,5,2,1
45,26,4,1
46,25,5,1
47,20,6,1
48,18,6,1
49,4,3,1
50,13,2,1
51,8,2,1
52,28,5,1
53,11,2,1
54,17,3,1
55,10,5,1
56,12,3,1
57,6,0,1
58,22,2,1
59,27,5,1
60,24,0,1
61,3,1,1
62,1,1,1
63,19,6,1
64,7,5,1
65,10,6,1
66,9,6,1
67,28,6,1
68,25,3,1
69,11,2,1
70,6,1,1
71,22,2,1
72,4,3,1
73,21,3,1
74,2,2,1
75,26,4,1
76,17,4,1
77,15,3,1
78,8,5,1
79,23,2,1
80,20,5,1
81,14,0,1
82,5,1,1
83,18,5,1
84,13,2,1
85,29,6,1
86,24,2,1
87,30,6,1
88,16,1,1
89,27,5,1
90,12,1,1
<end data>,,,
<start header>,,,
Wed Sep  2 13:24:23 1998,,,
RT identification,,,
shkas.ssf,,,
1 30,,,
1 1,,,
90,,,
none,,,
2,,,
button,,,
1 2 3 4 5 6,,,
1,,,
<end header>,,,
<start data>,,,
1,30,5,1
2,13,1,1
3,29,6,1
4,11,2,1
5,22,2,1
6,2,1,1
7,8,4,1
8,16,2,1
9,15,2,1
10,7,4,1
11,10,6,1
12,17,0,1
13,18,5,1
14,5,2,1
15,20,6,1
16,25,1,1
17,19,5,1
18,27,6,1
19,12,1,1
20,24,2,1
21,1,1,1
22,26,4,1
23,9,4,1
24,14,3,1
25,3,1,1
26,23,3,1
27,28,4,1
28,6,2,1
29,21,1,1
30,4,1,1
31,25,4,1
32,12,1,1
33,18,5,1
34,1,2,1
35,24,4,1
36,26,6,1
37,10,6,1
38,30,6,1
39,28,6,1
40,29,6,1
41,5,3,1
42,6,2,1
43,4,1,1
44,17,1,1
45,27,4,1
46,20,5,1
47,23,2,1
48,3,1,1
49,11,3,1
50,14,3,1
51,22,2,1
52,16,0,1
53,9,5,1
54,15,2,1
55,19,4,1
56,2,1,1
57,8,3,1
58,21,0,1
59,7,3,1
60,13,1,1
61,25,2,1
62,4,1,1
63,26,4,1
64,16,4,1
65,19,0,1
66,6,1,1
67,5,2,1
68,20,5,1
69,30,6,1
70,9,3,1
71,27,4,1
72,2,3,1
73,21,4,1
74,14,5,1
75,8,2,1
76,23,5,1
77,18,0,1
78,17,5,1
79,15,5,1
80,24,3,1
81,28,4,1
82,3,2,1
83,29,5,1
84,13,3,1
85,1,1,1
86,7,0,1
87,22,5,1
88,11,2,1
89,10,6,1
90,12,2,1
<end data>,,,
<start header>,,,
Wed Sep  2 13:28:58 1998,,,
RT identification,,,
shkas.ssf,,,
1 30,,,
1 1,,,
90,,,
none,,,
2,,,
button,,,
1 2 3 4 5 6,,,
1,,,
<end header>,,,
<start data>,,,
1,24,3,1
2,25,3,1
3,8,2,1
4,28,4,1
5,16,3,1
6,19,5,1
7,9,3,1
8,26,5,1
9,13,2,1
10,10,6,1
11,21,2,1
12,11,1,1
13,27,4,1
14,1,2,1
15,5,1,1
16,2,1,1
17,18,5,1
18,7,4,1
19,14,2,1
20,15,0,1
21,22,2,1
22,12,1,1
23,17,4,1
24,4,3,1
25,20,5,1
26,30,6,1
27,6,2,1
28,29,5,1
29,23,2,1
30,3,1,1
31,9,4,1
32,25,2,1
33,15,2,1
34,18,4,1
35,8,3,1
36,16,3,1
37,2,2,1
38,10,4,1
39,3,2,1
40,24,1,1
41,23,0,1
42,13,0,1
43,27,4,1
44,1,3,1
45,4,1,1
46,28,5,1
47,29,6,1
48,11,2,1
49,7,2,1
50,5,2,1
51,30,4,1
52,14,0,1
53,20,6,1
54,19,6,1
55,22,1,1
56,17,4,1
57,6,2,1
58,26,5,1
59,12,1,1
60,21,1,1
61,13,1,1
62,26,4,1
63,25,3,1
64,1,2,1
65,10,5,1
66,5,2,1
67,17,1,1
68,14,1,1
69,18,1,1
70,15,1,1
71,21,1,1
72,12,1,1
73,22,1,1
74,9,4,1
75,28,5,1
76,6,2,1
77,24,2,1
78,19,4,1
79,11,2,1
80,30,5,1
81,4,1,1
82,7,2,1
83,20,4,1
84,23,2,1
85,27,4,1
86,8,4,1
87,2,2,1
88,3,1,1
89,16,2,1
90,29,5,1
<end data>,,,
<start header>,,,
Wed Sep  2 16:09:46 1998,,,
RT identification,,,
shkas.ssf,,,
1 30,,,
1 1,,,
60,,,
none,,,
1,,,
button,,,
1 2 3 4 5 6,,,
2,,,
<end header>,,,
<start data>,,,
1,13,0,practice
2,11,0,practice
3,10,0,practice
4,3,0,practice
5,28,0,practice
6,30,0,practice
7,24,0,practice
8,15,0,practice
9,26,0,practice
10,1,0,practice
11,27,3,practice
12,25,0,practice
13,18,3,practice
14,21,2,practice
15,20,0,practice
16,7,1,practice
17,5,0,practice
18,17,2,practice
19,22,2,practice
20,29,0,practice
21,12,2,practice
22,8,1,practice
23,19,3,practice
24,16,2,practice
25,23,0,practice
26,14,1,practice
27,6,3,practice
28,2,4,practice
29,9,3,practice
30,4,2,practice
31,12,2,practice
32,9,4,practice
33,3,0,practice
34,29,2,practice
35,24,2,practice
36,15,2,practice
37,25,4,practice
38,28,4,practice
39,27,3,practice
40,7,2,practice
41,6,0,practice
42,8,2,practice
43,19,4,practice
44,30,4,practice
45,23,3,practice
46,2,3,practice
47,1,2,practice
48,21,2,practice
49,14,2,practice
50,17,1,practice
51,16,1,practice
52,10,1,practice
53,4,1,practice
54,26,1,practice
55,18,2,practice
56,13,2,practice
57,5,2,practice
58,11,1,practice
59,22,1,practice
60,20,4,practice
<end data>,,,
<start header>,,,
Wed Sep  2 16:13:56 1998,,,
RT identification,,,
shkas.ssf,,,
1 30,,,
1 1,,,
90,,,
none,,,
2,,,
button,,,
1 2 3 4 5 6,,,
2,,,
<end header>,,,
<start data>,,,
1,9,0,2
2,25,3,2
3,29,3,2
4,6,2,2
5,16,2,2
6,3,2,2
7,5,1,2
8,12,2,2
9,1,0,2
10,30,4,2
11,22,0,2
12,27,2,2
13,19,0,2
14,2,4,2
15,11,2,2
16,8,2,2
17,13,0,2
18,28,5,2
19,4,2,2
20,17,0,2
21,18,3,2
22,26,2,2
23,7,1,2
24,14,2,2
25,20,4,2
26,21,2,2
27,15,2,2
28,10,4,2
29,23,0,2
30,24,3,2
31,10,1,2
32,18,2,2
33,25,0,2
34,14,1,2
35,19,3,2
36,22,4,2
37,11,0,2
38,5,3,2
39,4,2,2
40,13,3,2
41,12,2,2
42,28,1,2
43,20,1,2
44,29,2,2
45,24,0,2
46,1,2,2
47,7,1,2
48,27,1,2
49,15,2,2
50,26,3,2
51,8,2,2
52,30,4,2
53,2,3,2
54,21,2,2
55,23,2,2
56,16,2,2
57,17,0,2
58,9,2,2
59,6,0,2
60,3,0,2
61,18,3,2
62,12,0,2
63,28,2,2
64,6,0,2
65,21,2,2
66,17,3,2
67,8,3,2
68,29,2,2
69,11,0,2
70,24,3,2
71,3,2,2
72,25,0,2
73,1,0,2
74,5,0,2
75,4,3,2
76,23,3,2
77,2,3,2
78,9,0,2
79,22,0,2
80,20,3,2
81,27,2,2
82,16,2,2
83,15,0,2
84,14,1,2
85,19,2,2
86,26,0,2
87,30,3,2
88,7,4,2
89,13,4,2
90,10,4,2
<end data>,,,
<start header>,,,
Wed Sep  2 16:18:56 1998,,,
RT identification,,,
shkas.ssf,,,
1 30,,,
1 1,,,
90,,,
none,,,
2,,,
button,,,
1 2 3 4 5 6,,,
2,,,
<end header>,,,
<start data>,,,
1,4,0,2
2,9,4,2
3,7,3,2
4,10,5,2
5,8,3,2
6,27,2,2
7,16,2,2
8,23,4,2
9,25,5,2
10,29,0,2
11,21,0,2
12,24,0,2
13,22,0,2
14,30,4,2
15,3,0,2
16,6,0,2
17,26,0,2
18,18,5,2
19,2,0,2
20,20,0,2
21,19,0,2
22,28,5,2
23,15,0,2
24,1,0,2
25,12,5,2
26,13,4,2
27,14,3,2
28,5,0,2
29,17,5,2
30,11,0,2
31,9,4,2
32,16,2,2
33,13,1,2
34,4,6,2
35,22,0,2
36,20,0,2
37,12,5,2
38,30,6,2
39,19,0,2
40,18,5,2
41,29,0,2
42,7,0,2
43,3,0,2
44,10,6,2
45,6,6,2
46,23,6,2
47,14,0,2
48,17,5,2
49,27,6,2
50,26,6,2
51,28,0,2
52,2,6,2
53,5,5,2
54,15,3,2
55,21,4,2
56,8,0,2
57,11,2,2
58,25,0,2
59,24,4,2
60,1,5,2
61,3,6,2
62,12,6,2
63,11,6,2
64,7,6,2
65,6,5,2
66,14,6,2
67,28,6,2
68,29,6,2
69,10,6,2
70,23,6,2
71,26,6,2
72,2,6,2
73,15,6,2
74,5,6,2
75,24,5,2
76,19,5,2
77,25,5,2
78,30,5,2
79,17,5,2
80,22,6,2
81,9,6,2
82,27,6,2
83,21,6,2
84,18,3,2
85,8,4,2
86,16,5,2
87,13,0,2
88,4,4,2
89,20,4,2
90,1,5,2
<end data>,,,
<start header>,,,
Wed Sep  2 16:23:50 1998,,,
RT identification,,,
shkas.ssf,,,
1 30,,,
1 1,,,
90,,,
none,,,
2,,,
button,,,
1 2 3 4 5 6,,,
2,,,
<end header>,,,
<start data>,,,
1,14,0,2
2,22,0,2
3,8,0,2
4,3,0,2
5,30,0,2
6,29,4,2
7,10,5,2
8,13,0,2
9,23,3,2
10,12,4,2
11,26,0,2
12,9,0,2
13,1,0,2
14,21,2,2
15,19,0,2
16,18,1,2
17,28,2,2
18,4,5,2
19,2,0,2
20,25,4,2
21,6,0,2
22,5,0,2
23,24,5,2
24,15,5,2
25,27,2,2
26,11,6,2
27,16,2,2
28,17,0,2
29,7,3,2
30,20,2,2
31,30,5,2
32,21,2,2
33,18,0,2
34,13,4,2
35,7,0,2
36,11,2,2
37,23,0,2
38,15,3,2
39,24,4,2
40,5,2,2
41,1,0,2
42,19,5,2
43,2,0,2
